Batch	Flowcell	Group	sample.name 	 tumor.status	stat.Total_Reads 	stat.Mapped_Reads 	stat.Mapped_Reads_pct	stat.Mapped_Reads_Junction	stat.Mapped_Reads_Junction_pct	stat.Gene_Count 	stat.Gene_Count_pct	stat.SNVs 	stat.Indels 	stat.Fusions
3	180406_ST-K00112_0073_AHTF52BBXX	MSH6	MSI_MSH6_7	normal 	63006639	60367947	96	40349654	64	50390836	80	22467	29655	9
3	180406_ST-K00112_0073_AHTF52BBXX	MSH6	MSI_MSH6_8	normal 	40953838	39385476	96	17990590	44	30191178	74	67362	43169	1
2	180116_K00203_0173_BHNKCVBBXX	MSH6	MSI_MSH6_1	tumor 	36279691	34370879	95	19420790	54	28307764	78	26272	25614	4
4	180712_K00203_0208_AHW5VMBBXX	MSH6	MSI_MSH6_10	tumor 	43563752	42481591	98	29607993	68	36501075	84	26279	27849	0
4	180712_K00203_0208_AHW5VMBBXX	MSH6	MSI_MSH6_11	tumor 	65664492	63966204	97	41758010	64	54128118	82	27988	29138	4
4	180712_K00203_0208_AHW5VMBBXX	MSH6	MSI_MSH6_12	tumor 	30071887	27801478	92	16594994	55	21603113	72	20926	21199	1
2	180116_K00203_0173_BHNKCVBBXX	MSH6	MSI_MSH6_2	tumor 	97901883	93548548	96	55250879	56	74891218	76	36012	84530	11
2	180116_K00203_0173_BHNKCVBBXX	MSH6	MSI_MSH6_3	tumor 	23777056	22861754	96	13734082	58	19368372	81	21783	18535	1
2	180116_K00203_0173_BHNKCVBBXX	MSH6	MSI_MSH6_4	tumor 	27717130	26277867	95	14856580	54	21149968	76	15427	14366	2
3	180406_ST-K00112_0073_AHTF52BBXX	MSH6	MSI_MSH6_6	tumor 	61178620	58650255	96	41798713	68	48455055	79	24365	16934	8
3	180406_ST-K00112_0073_AHTF52BBXX	MSH6	MSI_MSH6_7	tumor 	33245450	30402873	91	17038341	51	24593095	74	21870	35957	0
3	180406_ST-K00112_0073_AHTF52BBXX	MSH6	MSI_MSH6_8	tumor 	46944759	44385285	95	22573623	48	36206971	77	70284	34712	1
3	180406_ST-K00112_0073_AHTF52BBXX	MSH6	MSI_MSH6_9	tumor 	46766006	43811260	94	23758848	51	36625040	78	58373	32794	0
1	170411_K00316_0075_AHJGYCBBXX	MSH6	MSI_MSH6p_5	normal 	63428462	61557420	97	45913077	72	53368355	84	23467	15036	13
1	170411_K00316_0075_AHJGYCBBXX	MSH6	MSI_MSH6p_5	tumor 	47490119	46368158	98	33101289	70	38155803	80	21638	12425	12
1	170411_K00316_0075_AHJGYCBBXX	MSS	MSS_1	normal 	54042432	51747666	96	36404687	67	43640479	81	20204	20279	10
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_10	normal 	89312101	85277922	95	60076819	67	72307948	81	31304	30875	20
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_11	normal 	46976204	43824093	93	27245615	58	34243899	73	20319	16317	9
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_12	normal 	47716961	42638461	89	19818904	42	32884740	69	58017	40560	0
3	180412_ST-K00112_0074_AHTVNCBBXX	MSS	MSS_13	normal 	42201623	39187083	93	21168095	50	29227666	69	25558	27775	1
4	180622_K00316_0171_BHVL2TBBXX	MSS	MSS_14	normal 	33974332	33261550	98	24183276	71	27948356	82	19840	18611	1
4	180622_K00316_0171_BHVL2TBBXX	MSS	MSS_15	normal 	53973005	52144952	97	35008781	65	44181819	82	23937	38480	5
4	180622_K00316_0171_BHVL2TBBXX	MSS	MSS_16	normal 	75255678	72351311	96	48709993	65	59180241	79	31637	17140	5
4	180712_K00203_0208_AHW5VMBBXX	MSS	MSS_17	normal 	38779474	37661360	97	30879237	80	32651705	84	20211	18949	3
1	170411_K00316_0075_AHJGYCBBXX	MSS	MSS_2	normal 	40239168	38787883	96	26629485	66	32163709	80	21538	17221	10
2	180116_K00203_0173_BHNKCVBBXX	MSS	MSS_4	normal 	35273836	33717589	96	22390060	63	28239972	80	17828	21171	8
2	180116_K00203_0173_BHNKCVBBXX	MSS	MSS_5	normal 	53100399	50371814	95	34200011	64	42610243	80	19045	31285	11
2	180116_K00203_0173_BHNKCVBBXX	MSS	MSS_6	normal 	69180953	65879189	95	43602900	63	55266819	80	23204	30273	11
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_7	normal 	68853204	65261494	95	47415186	69	54842661	80	22098	17500	11
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_8	normal 	58650593	49701723	85	23905577	41	32565296	56	22002	21193	7
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_9	normal 	35714779	33373975	93	19228338	54	26128681	73	22282	27579	2
1	170411_K00316_0075_AHJGYCBBXX	MSS	MSS_1	tumor 	33730202	31713934	94	18320687	54	24336372	72	17782	21185	5
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_10	tumor 	35942129	34210213	95	23348397	65	28283398	79	19210	10553	30
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_11	tumor 	50489368	47878846	95	32952575	65	40066006	79	21246	18063	5
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_12	tumor 	54561894	51047664	94	24890480	46	39356092	72	47300	43999	0
3	180412_ST-K00112_0074_AHTVNCBBXX	MSS	MSS_13	tumor 	55473860	51592911	93	29945638	54	41807183	75	21961	25955	2
4	180622_K00316_0171_BHVL2TBBXX	MSS	MSS_14	tumor 	78186042	75214941	96	50121424	64	60327273	77	27000	29743	2
4	180622_K00316_0171_BHVL2TBBXX	MSS	MSS_15	tumor 	46571979	44819601	96	29118623	63	37511827	81	26091	34863	6
4	180622_K00316_0171_BHVL2TBBXX	MSS	MSS_16	tumor 	58532100	56169285	96	35155321	60	45990511	79	31472	27377	4
4	180712_K00203_0208_AHW5VMBBXX	MSS	MSS_17	tumor 	90888469	87845467	97	61782127	68	74510532	82	34983	40849	12
1	170411_K00316_0075_AHJGYCBBXX	MSS	MSS_2	tumor 	43347740	42053552	97	30446587	70	35650825	82	22183	17322	18
2	180116_K00203_0173_BHNKCVBBXX	MSS	MSS_3	tumor 	21305472	20172542	95	11689139	55	15974315	75	13091	11888	2
2	180116_K00203_0173_BHNKCVBBXX	MSS	MSS_4	tumor 	31844199	30292453	95	19935468	63	24693377	78	18344	24686	6
2	180116_K00203_0173_BHNKCVBBXX	MSS	MSS_5	tumor 	59284412	56504571	95	36640233	62	47095310	79	23116	34845	14
2	180116_K00203_0173_BHNKCVBBXX	MSS	MSS_6	tumor 	43535210	41662176	96	25031451	57	33454383	77	21401	20274	7
